upload_to_dashboard;order;view_code;disaster_type;country_code;variable;label;label_espanol;unit;format;icon_src;group;agg_method;weight_var;scorevar_name;reverse_inform;log_inform;inform_indicator;id_overall;year;source_link;description;description_espanol;source_organization_type;source_organization;admin_level_min;admin_level;retention_period;source_quality;label_french;description_french;layer_type
1;;CRA;;ETH;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2016;https://africaopendata.org/dataset/ethiopia-shapefiles;Administrative boundary data. See link for more information.;;;;2;2;20;5;;;
1;;CRA;;ETH;admin;Administrative areas - level 1;;;;area.png;admin;;;;;;#N/A;0.1.1;2016;https://africaopendata.org/dataset/ethiopia-shapefiles;Administrative boundary data. See link for more information.;;;;1;1;20;5;;;
1;9;CRA;;ETH;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2015;http://www.worldpop.org.uk/data/summary/?doi=10.5258/SOTON/WP00087;Alpha version 2010 estimates of numbers of people per grid square, with national totals adjusted to match UN 2015 population division estimates (http://esa.un.org/wpp/).;;;;0;3;;;;;
1;;CRA;;ETH;refugees;# of IDPs;;;decimal0;;other;sum;;;;;;;2018;https://displacement.iom.int/ethiopia;Internally Displaced population. Displacement Reports May/June 2018 from IOM. From URL, click 'Reports' >> 'Displacement Reports';;;IOM;0;2;;;;;
1;;CRA;;ETH;refugee_density;# of IDPs per 10,000 people;;;decimal0;;other;weighted_avg;population;;;;;;2018;https://displacement.iom.int/ethiopia;Internally displaced population divided by total population. Displacement Reports May/June 2018 from IOM. From URL, click 'Reports' >> 'Displacement Reports'.;;;IOM;0;2;;;;;
1;;CRA;;ETH;priority_water;Priority area Water;;;decimal2;;other;weighted_avg;population;;;;;;2017;https://www.humanitarianresponse.info/en/operations/ethiopia/document/ethiopia-humanitarian-requirements-document-hrd-2017-status-update;Woreda's are given a priority from 1 (high) to 3 (low) with respect to Water cluster. These numbers are aggregated to zones and regions, which leads to decimal averages.;;;;0;3;;;;;
1;;CRA;;ETH;priority_health;Priority area Health/Nutrition;;;decimal2;;other;weighted_avg;population;;;;;;2017;https://www.humanitarianresponse.info/en/operations/ethiopia/document/ethiopia-humanitarian-requirements-document-hrd-2017-status-update;Woreda's are given a priority from 1 (high) to 3 (low) with respect to Health/Nutrition cluster. These numbers are aggregated to zones and regions, which leads to decimal averages.;;;;0;3;;;;;
1;;CRA;;ETH;flood_risk;Flood risk;;;decimal2;;other;weighted_avg;population;;;;;;2018;https://reliefweb.int/report/ethiopia/ethiopia-floods-flash-update-1-4-may-2018;Woreda's are defined at flood risk (1) or not (0). These numbers are aggregated to zones and regions, which leads to decimal averages.;;;;0;3;;;;;
1;9;CRA;;HTI;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2015;https://data.humdata.org/dataset/estimated-population-of-haiti-2015;Haitian Institute of Statistics and Information ( IHSI). Estimation methodology here: http://www.ihsi.ht/produit_demo_soc.htm Pcoded version used Administrative boundaries CODs to add pcodes.;;;;0;3;;;;;
1;;CRA;;HTI;mpi;Multidimensional Poverty Index;;;decimal2;poverty.png;vulnerability;weighted_avg;population;mpi_score;0;0;Development & Deprivation;2.1.1;2017;http://www.dataforall.org/dashboard/ophi/index.php/mpi/download_brief_files/HTI;MPI is the multiplication of Poverty Incidence and Poverty Intensity. See source for more information. Source: OPHI Country Briefing 2017 Haiti.;;;;0;1;;;;;
1;;CRA;;KEN;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2017;https://data.humdata.org/dataset/ken-administrative-boundaries;Administrative boundary data. See link for more information.;;;;2;2;20;5;;;
1;;CRA;;KEN;admin;Administrative areas - level 1;;;;area.png;admin;;;;;;#N/A;0.1.1;2017;https://data.humdata.org/dataset/ken-administrative-boundaries;Administrative boundary data. See link for more information.;;;;1;1;20;5;;;
1;;CRA;;KEN;improved_water;% Access improved water sources;;;percentage;sanitation.png;coping_capacity;weighted_avg;population;improved_water_score;1;;Physical infrastructure;3.2.2;2011;https://data.humdata.org/dataset/percentage-of-population-with-access-to-improved-water-facilities-in-kenya;Percentage of population with reasonable access (within 1km) to an adequate amount of water (20 litres per person) through a household connection, public standpipe well or spring, or rain water system.;;;World Bank;0;1;;;;;
1;;CRA;;KEN;improved_sanitation;% Access improved sanitation;;;percentage;piped_water.png;coping_capacity;weighted_avg;population;improved_sanitation_score;1;;Physical infrastructure;3.2.2;2011;https://data.humdata.org/dataset/percentage-of-people-with-access-to-improved-sanitation-facilities;Percentage of the population using improved sanitation facilities, including flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.;;;World Bank;0;1;;;;;
1;;CRA;;KEN;health_density;Nr. of health facilities per 10,000 people;;;decimal2;hospital.png;coping_capacity;weighted_avg;population;health_density_score;1;;Access to health care;3.2.3;2018;http://kmhfl.health.go.ke/#/facility_filter/results;Number of health clinics per 10,000 people.;;Government;Ministry of Health;0;2;;;;;
1;;CRA;;KEN;electricity_access;% Access to electricity;;;percentage;;coping_capacity;weighted_avg;population;electricity_access_score;1;;Communication;3.2.1;2011;https://data.humdata.org/dataset/kenya-rates-of-access-to-electricity-per-county;Percentage of the population with electricity access.;;;Kenya Commission For Revenue Allocation;0;1;;;;;
1;;CRA;;KEN;education_density;Nr. of educational facilities per 10,000 people;;;decimal2;schools.png;coping_capacity;weighted_avg;population;education_density_score;1;;Physical infrastructure;3.2.2;2005;https://data.humdata.org/dataset/kenya-education-0;Number of educational institutes per 10,000 people.;;Government;Communications Commission of Kenya (CCK);0;2;;;;;
1;9;CRA;;KEN;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2015;https://data.humdata.org/dataset/kenya-population-projection-by-county-2009-2018-and-subcounty-2015;2015 projections of population per ward, calculated from Worldpop data.;;;;0;3;;;;;
1;;CRA;;KEN;river_length;Total river length;;km;decimal0;river_length.png;other;sum;;;0;0;;;2003;https://data.humdata.org/dataset/kenya-water-courses;Total river length in kilometres;;;Data Exchange Platform for the Horn of Africa;0;2;;;;;
1;;CRA;;LKA;admin;Administrative areas - level 4;;;;area.png;admin;;;;;;#N/A;0.1.1;2012;https://data.humdata.org/dataset/sri-lanka-admin-level-4-boundaries;Administrative boundary data. See link for more information.;;;;4;4;20;5;;;
1;;CRA;;LKA;admin;Administrative areas - level 3;;;;area.png;admin;;;;;;#N/A;0.1.1;2012;https://data.humdata.org/dataset/sri-lanka-admin-level-3-boundaries;Administrative boundary data. See link for more information.;;;;3;3;20;5;;;
1;;CRA;;LKA;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2012;https://data.humdata.org/dataset/sri-lanka-admin-level-2-boundaries;Administrative boundary data. See link for more information.;;;;2;2;20;5;;;
1;9;CRA;;LKA;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2012;https://data.humdata.org/dataset/sri-lanka-admin-level-4-boundaries;Population from 2012 Sri Lanka Census of population and housing.;;;;0;4;;;;;
1;;CRA;;MLI;admin;Administrative areas - level 3;;;;area.png;admin;;;;;;#N/A;0.1.1;2017;https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe;Administrative boundary data. See link for more information.;;;;3;3;20;5;Zone Administrative - niveau 3;Zone administrative délimitée. Cliquez sur le lien pour plus d'information.;
1;;CRA;;MLI;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2017;https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe;Administrative boundary data. See link for more information.;;;;2;2;20;5;Zone Administrative - niveau 2;Zone administrative délimitée. Cliquez sur le lien pour plus d'information.;
1;;CRA;;MLI;admin;Administrative areas - level 1;;;;area.png;admin;;;;;;#N/A;0.1.1;2017;https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe;Administrative boundary data. See link for more information.;;;;1;1;20;5;Zone Administrative - niveau 1;Zone administrative délimitée. Cliquez sur le lien pour plus d'information.;
1;;CRA;;MLI;dtc_immunization;Immunization DTC;;;percentage;;coping_capacity;weighted_avg;population;dtc_immunization_score;1;0;Access to health care;3.2.3;2017;http://www.inform-index.org/Subnational/Sahel;"Immunization rate (or 1-year-olds immunized against): DTC (Average of DTC1 and DTC3). Source: WHO. Based on years 2013-2017. Accessed through INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel
";;;;0;1;5;3;Taux de vaccination DTC;Taux d'immunisation des enfants de moins d'1 an contre la DTC (Moyenne des DTC1 et DTC3). Source: WHO. Basé sur la période 2013-2017. Obtenu par INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel;
1;;CRA;;MLI;education_density;# education facilities per 10,000 people;;;decimal2;;coping_capacity;weighted_avg;population;education_density_score;1;0;Communication;3.2.1;2014;https://data.humdata.org/dataset/statistiques-scolaires-de-l-enseignement-fondamental;The number of fundamental schools divided by population.;;;;0;1;5;3;Nbre d'écoles par 10.000 personnes;Nombre d'écoles fondamentales divisés par la population.;
1;;CRA;;MLI;electricity_access;Access to Electricity;;;percentage;;coping_capacity;weighted_avg;population;electricity_access_score;1;0;Communication;3.2.1;2017;http://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources. Based on years 2013-2017. Accessed through INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel;;;;0;1;5;3;Accès à l'électricité;Pourcentage de la population ayant accès à l'électricité. Les données sur l'électrification proviennent de l'industrie, des enquêtes nationales, et des sources internationales. Basé sur la période 2013-2017. Obtenu par INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel;
1;;CRA;;MLI;health_density;# health facilities per 10,000 people;;;decimal2;;coping_capacity;weighted_avg;population;health_density_score;1;0;Access to health care;3.2.3;2014;https://data.humdata.org/dataset/mali-healthsites;The number of Health sites divided by the population.;;;;0;1;5;3;Nbre d'établissements de santé par 10.000 personnes;Nombre d'établissements de santé divisés par la population.;
1;;CRA;;MLI;improved_watersource;Access to Improved Water Source;;;percentage;;coping_capacity;weighted_avg;population;improved_watersource_score;1;0;Physical infrastructure;3.2.2;2017;https://www.wssinfo.org/documents/?tx_displaycontroller[type]=country_files;The indicator defines the percentage of population with reasonable access (within one km) to an adequate amount of water (20 litres per person) through a household connection, public standpipe well or spring, or rain water system. An improved drinking-water source is defined as one that, by nature of its construction or through active intervention, is protected from outside contamination, in particular from contamination with faecal matter. Based on years 2012-2017. Source: WHO Global Health Observatory Data Repository. Accessed through INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel;;;;0;1;5;3;Accès à un point d'eau amélioré;La proportion de la population ayant accès (à moins d'un km) à un volume d'eau (20 litres par personne) via un branchement domestique, borne fontaine publique, forages, puits protégés, sources protégées, collecteurs d’eau de pluie. Une source d'eau améliorée doit être protégée de la contamination extérieure, comme celle des matières fécales. Basé sur la période 2012-2017. Obtenu par INFORM Sahel model 2018: http://www.inform-index.org/Subnational/Sahel;
